"","country","calorie_X2009","calorie_X2010","calorie_X2011","calorie_X2012","calorie_X2013","sugar_X2009","sugar_X2010","sugar_X2011","sugar_X2012","sugar_X2013"
"1","Afghanistan",2080,2100,2110,2100,2090,23.3,24.3,24.8,25.4,24.5
"2","Albania",2990,3080,3130,3180,3190,117,113,122,129,131
"3","Algeria",3110,3140,3220,3270,3300,85.3,85.6,74.9,82.8,78.2
"4","Angola",2300,2350,2410,2380,2470,40.2,38.9,40.1,42.7,44.7
"5","Antigua and Barbuda",2320,2320,2370,2290,2420,87.6,87.6,79.6,87.9,90.1
"6","Argentina",3130,3160,3160,3200,3230,132,131,132,131,132
"7","Armenia",2820,2770,2790,2880,2930,103,112,101,101,97.4
"8","Australia",3210,3210,3240,3260,3280,126,126,127,126,126
"9","Austria",3720,3720,3740,3740,3770,128,132,131,130,124
"10","Azerbaijan",3000,2970,3040,3060,3120,40,43.4,44.2,48.3,50.5
"11","Bahamas",2620,2600,2570,2670,2670,120,119,120,96.6,107
"12","Bangladesh",2430,2440,2430,2440,2450,22.8,21.9,22.6,22.3,22.1
"13","Barbados",2910,2910,2890,2910,2940,160,161,159,160,160
"14","Belarus",3130,3200,3400,3400,3250,118,102,110,105,107
"15","Belgium",3700,3710,3720,3720,3730,149,156,138,153,144
"16","Belize",2760,2840,2760,2740,2750,119,123,121,121,116
"17","Benin",2570,2560,2600,2610,2620,13.6,14.6,14.6,17.2,21.4
"18","Bolivia",2130,2180,2220,2230,2260,69.8,70.6,73.1,72.8,75.2
"19","Bosnia and Herzegovina",3080,3100,3130,3050,3150,52.4,53.8,55.4,57.7,55.3
"20","Botswana",2200,2230,2270,2340,2330,83.2,93.4,81.9,80.4,85
"21","Brazil",3170,3230,3290,3250,3260,115,117,116,117,117
"22","Brunei",2890,2890,2940,2970,2990,135,136,138,135,135
"23","Bulgaria",2790,2760,2770,2780,2830,87.5,72.2,77.7,76.5,78.7
"24","Burkina Faso",2640,2680,2660,2710,2720,13,13.3,19.5,19.8,20.3
"25","Cambodia",2420,2420,2430,2430,2480,54.1,51.3,49.6,51,51.5
